,distance_stream_downstream
1688,36566.73
1689,36516.117
1690,36566.73
1691,36727.98
1692,36889.23
1693,37614.895
1694,37564.28
1695,37614.895
1696,37776.152
1697,37937.402
1698,38098.652
1699,38501.758
1700,38663.008
1701,39066.113
1702,39227.36
1703,39388.61
1704,39791.72
1705,39952.97
1706,40356.082
1707,40869.812
1708,40920.42
1709,41081.66
1710,41242.9
1711,41404.152
1712,16215.383
1713,16054.133
1714,15892.882
1715,15489.776
1716,15328.52
1717,15489.776
1718,15328.517
1719,15519.674
1720,15358.417
1721,14955.312
1722,14794.055
1723,14955.312
1724,14794.055
1725,14844.676
1726,15005.933
1727,15409.038
1728,14452.309
1729,14966.05
1730,14562.944
1731,14401.6875
1732,14351.07
1733,14401.6875
1734,14915.433
1735,15076.689
1736,15306.954
1737,15145.697
1738,15095.084
1739,15145.697
1740,14309.487
1741,13906.383
1742,13745.126
1743,13583.869
1744,13422.612
1745,13371.995
1746,13422.612
1747,13473.233
1748,12646.331
1749,12696.948
1750,12858.205
1751,12726.776
1752,12565.525
1753,12162.42
1754,12001.163
1755,11950.546
1756,12001.163
1757,12162.42
1758,12565.525
1759,12726.776
1760,11326.031
1761,11164.774
1762,11114.157
1763,11164.774
1764,11678.52
1765,11839.77
1766,12242.874
1767,12867.244
1768,13028.501
1769,13079.099
1770,10690.271
1771,10740.893
1772,10690.275
1773,10740.893
1774,10902.149
1775,11305.255
1776,11991.947
1777,11830.69
1778,11316.942
1779,11266.325
1780,11316.942
1781,11478.199
1782,11639.456
1783,11487.613
1784,11326.356
1785,11275.739
1786,11326.356
1787,15540.674
1788,15379.417
1789,15218.16
1790,15056.903
1791,14895.646
1792,14734.3955
1793,14331.29
1794,14170.033
1795,14008.776
1796,13958.159
1797,14008.776
1798,14170.033
1799,14331.29
1800,14845.086
1801,14895.703
1802,15056.96
1803,15218.217
1804,20421.045
1805,20259.795
1806,20098.543
1807,19695.44
1808,19534.182
1809,19372.926
1810,19211.668
1811,19050.412
1812,18889.154
1813,18727.898
1814,18677.281
1815,18727.898
1816,18677.277
1817,18727.898
1818,20833.586
1819,20782.973
1820,20269.232
1821,19866.127
1822,19704.87
1823,19654.252
1824,19704.87
1825,19654.248
1826,19704.87
1827,19866.127
1828,21266.902
1829,20863.797
1830,20702.54
1831,20863.797
1832,20702.54
1833,21741.4
1834,22255.145
1835,21741.4
1836,21690.783
1837,21741.4
1838,21902.668
1839,21852.05
1840,21902.668
1841,22063.926
1842,22225.182
1843,23192.701
1844,23142.084
1845,23192.701
1846,23353.965
1847,23757.062
1848,24482.734
1849,24432.117
1850,24482.734
1851,24754.643
1852,24805.262
1853,24966.523
1854,25127.787
1855,25289.049
1856,25450.312
1857,25611.574
1858,25772.838
1859,26175.938
1860,26447.824
1861,26609.076
1862,27224.17
1863,27173.553
1864,27334.809
1865,27737.914
