,profile_curvature
1247,-2.085399e-05
1248,-1.3043554e-05
1249,-9.477317e-06
1250,-7.812018e-06
1251,-8.374058e-06
1252,-1.1668118e-05
1253,-1.4922368e-05
1254,-1.8286355e-05
1255,-1.9263722e-05
1256,-2.0178963e-05
1257,-2.0218076e-05
1258,-1.834148e-05
1259,-1.6252501e-05
1260,-1.4787177e-05
1261,-1.3322519e-05
1262,-1.3582459e-05
1263,-1.5815283e-05
1264,-2.1113583e-05
1265,-2.6871221e-05
1266,-3.341965e-05
1267,-4.0773804e-05
1268,-4.4989138e-05
1269,-8.555237e-05
1270,-0.00062130066
1271,-0.00051944697
1272,-0.00025740746
1273,-0.00028409276
1274,-0.0003043623
1275,-0.0004342507
1276,-0.00041916003
1277,-0.00026446415
1278,-0.00019597074
1279,-0.00019453073
1280,-8.618125e-05
1281,-0.00010011675
1282,-2.9493605e-05
1283,-4.710009e-06
1284,2.2891081e-05
1285,7.474571e-05
1286,0.00021444136
1287,0.00041859076
1288,0.00029493668
1289,-0.00021004606
1290,-6.694557e-05
1291,1.1538499e-05
1292,0.00015830356
1293,0.0021354507
1294,0.002636644
1295,0.000112676455
1296,5.4637676e-06
1297,-3.5367157e-06
1298,3.7726043e-06
1299,4.6396144e-05
1300,4.2794734e-05
1301,-0.00019496896
1302,-5.6203676e-06
