,TWI_raster
1396,-11.393781
1397,-12.805898
1398,-10.752007
1399,-10.94196
1400,-12.907361
1401,-11.266964
1402,-13.446862
1403,-12.447281
1404,-9.417088
1405,-12.811974
1406,-11.357478
1407,-12.237995
1408,-10.958606
1409,-12.853548
1410,-11.406512
1411,-11.295654
1412,-10.354277
1413,-12.721474
1414,-11.467054
1415,-12.313517
1416,-11.437928
1417,-11.652314
1418,-13.568386
1419,-11.831334
1420,-13.007444
1421,-11.371258
1422,-11.89598
1423,-13.371794
1424,-11.745657
1425,-10.878071
1426,-10.349046
1427,-9.15078
1428,-12.369263
1429,-13.3595295
1430,-8.55098
1431,-9.910998
1432,-12.223143
1433,-12.638066
1434,-10.404702
1435,-9.556533
1436,-12.647479
1437,-13.216202
1438,-8.699099
1439,-12.500683
1440,-10.400292
1441,-13.172715
1442,-12.638026
1443,-14.4532
1444,-12.324278
1445,-10.695852
1446,-11.311005
1447,-15.785397
1448,-15.899147
1449,-14.067632
1450,-12.885712
1451,-12.929888
1452,-12.173189
1453,-12.282169
1454,-13.897795
1455,-15.040424
1456,-14.065277
1457,-15.505022
1458,-15.016913
1459,-13.089201
1460,-12.02197
1461,-9.785552
1462,-13.336269
1463,-13.299446
1464,-13.444234
1465,-15.335242
1466,-16.90452
1467,-15.453236
1468,-14.17078
1469,-9.365858
1470,-9.446475
1471,-14.479246
1472,-15.537142
1473,-16.240099
1474,-14.643671
1475,-10.141103
1476,-13.524405
1477,-16.491295
1478,-15.525659
1479,-14.645446
1480,-13.056205
1481,-11.242192
1482,-11.829664
1483,-11.953782
1484,-12.098958
1485,-11.727176
1486,-10.397403
1487,-10.497434
1488,-12.355154
1489,-11.61866
1490,-14.416062
1491,-13.628522
1492,-13.652817
1493,-13.614588
1494,-15.414749
1495,-14.414265
1496,-16.261438
1497,-14.3257675
1498,-13.149174
1499,-13.80654
1500,-10.951177
1501,-9.721879
1502,-9.394776
1503,-14.833106
1504,-16.120775
1505,-8.377466
1506,-11.639809
1507,-16.158316
1508,-13.972748
1509,-16.222162
1510,-15.321318
1511,-14.9095335
1512,-13.865463
1513,-12.174383
1514,-9.998485
1515,-11.539625
1516,-11.964715
1517,-13.1103325
1518,-12.345896
1519,-11.069178
1520,-12.053563
1521,-13.038057
1522,-12.203283
1523,-10.270292
1524,-13.378896
1525,-12.326038
1526,-11.69076
1527,-10.865387
1528,-11.604723
1529,-13.041044
1530,-10.225458
1531,-12.838314
1532,-11.964016
1533,-11.210765
1534,-11.391949
1535,-14.006108
1536,-11.970995
1537,-13.446391
1538,-11.4782715
1539,-12.166068
1540,-11.80713
1541,-10.77313
1542,-11.224315
1543,-11.721915
1544,-10.491926
1545,-12.603109
1546,-8.720884
1547,-13.505696
1548,-12.753951
1549,-10.962663
1550,-10.8825655
1551,-12.753311
1552,-10.15232
1553,-12.894915
1554,-11.208014
1555,-12.907765
1556,-11.238095
1557,-11.592713
1558,-11.689095
1559,-11.486195
1560,-10.324078
1561,-11.157786
1562,-13.906209
1563,-10.61556
1564,-10.9875
1565,-11.348414
1566,-12.770006
1567,-11.94411
1568,-13.851935
1569,-13.09407
1570,-11.099909
1571,-11.988426
1572,-15.720204
1573,-11.689323
