,distance_stream_downstream
1563,13887.864
1564,14049.14
1565,14210.415
1566,14724.182
1567,14774.81
1568,14936.085
1569,15339.192
1570,15500.461
1571,17830.68
1572,17780.05
1573,17830.68
1574,20007.607
1575,19493.912
1576,19332.643
1577,19171.375
1578,18768.268
1579,18606.992
1580,18445.717
1581,18042.61
1582,17881.334
1583,17830.707
1584,17881.334
1585,17830.703
1586,19120.846
1587,19070.203
1588,18908.928
1589,19070.205
1590,18908.932
1591,19070.205
1592,19120.84
1593,19282.121
1594,20007.86
1595,19957.229
1596,19906.6
1597,19957.229
1598,20118.504
1599,21056.111
1600,20894.836
1601,20844.209
1602,20894.836
1603,21056.111
1604,21459.219
1605,21620.488
1606,22134.238
1607,22184.863
1608,22346.139
1609,22507.414
1610,22910.521
1611,23071.79
1612,23585.547
1613,23636.172
1614,23797.447
1615,24200.555
1616,24714.305
1617,25087.455
1618,25036.83
1619,25087.455
1620,25248.73
1621,25732.506
1622,25681.883
1623,25732.506
1624,25893.781
1625,26055.057
1626,26216.332
1627,26377.607
1628,26538.88
1629,26941.988
1630,27103.258
1631,27264.533
1632,27667.646
1633,27828.928
1634,27990.209
1635,28151.49
1636,28312.771
1637,28474.047
1638,28635.32
1639,28796.596
1640,28957.871
1641,29360.979
1642,30086.617
1643,30035.992
1644,30086.617
1645,30600.38
1646,30761.662
1647,31164.74
1648,32102.236
1649,32051.615
1650,32102.236
1651,32263.5
1652,32424.762
1653,32374.139
1654,32424.762
1655,33150.387
1656,33634.188
1657,33472.914
1658,33422.29
1659,33472.914
1660,33634.184
1661,33795.453
1662,34984.203
1663,34933.58
1664,34984.203
1665,35034.824
1666,35659.21
1667,36919.246
1668,36516.133
1669,36354.855
1670,11457.53
1671,11618.812
1672,11346.868
1673,10973.65
1674,11134.932
1675,10298.555
1676,10137.274
1677,9975.98
1678,9925.35
1679,9975.98
1680,10137.262
1681,10298.543
1682,10701.651
1683,9764.037
1684,9925.324
1685,10086.605
1686,10247.887
1687,9764.019
1688,9925.299
1689,9764.019
1690,9713.387
1691,9764.019
1692,10277.776
1693,10439.051
1694,10036.209
1695,9874.928
1696,9824.297
1697,9874.928
1698,10913.849
1699,10752.573
1700,10349.466
1701,10188.185
1702,10137.554
1703,10188.185
1704,10349.472
1705,10863.233
1706,13414.506
1707,13253.225
1708,13091.943
1709,13041.3125
1710,13091.943
1711,13605.683
1712,13444.408
1713,12930.65
1714,12880.019
1715,12930.65
1716,13091.9375
1717,14170.06
1718,14331.334
1719,14492.615
1720,14653.896
1721,15057.004
1722,15218.279
1723,17760.402
1724,17599.115
1725,17548.484
1726,17599.115
1727,17760.396
1728,17599.104
1729,17437.822
1730,19050.46
1731,18889.186
1732,18727.912
1733,18677.283
1734,18163.53
1735,17760.422
1736,17599.14
1737,17548.51
1738,17599.14
1739,17548.502
1740,18838.65
1741,18677.363
1742,18626.732
1743,18677.363
1744,18838.645
1745,18999.926
1746,19161.207
1747,19886.945
1748,19725.666
1749,19675.033
1750,19725.666
1751,19886.953
1752,20048.24
1753,20562.01
1754,20612.643
1755,20773.924
1756,21177.031
1757,22255.178
1758,21741.414
1759,22467.059
1760,22416.43
1761,22467.059
1762,22628.332
1763,23353.984
1764,23303.355
1765,23918.367
1766,23867.738
1767,23918.367
1768,24079.64
1769,24945.871
1770,24996.5
1771,25369.65
1772,25319.021
1773,25369.65
1774,25964.074
1775,26014.701
1776,25964.074
1777,26014.701
1778,26498.525
1779,26447.898
1780,26498.525
1781,26659.8
1782,27385.453
1783,27334.824
1784,27385.453
1785,27546.734
1786,27708.014
1787,27869.295
1788,28030.576
1789,28191.857
1790,28594.965
1791,28756.24
1792,29028.162
1793,29078.791
1794,29592.559
1795,29753.846
1796,30267.559
1797,30318.188
1798,30479.469
1799,30882.582
1800,30802.121
1801,30963.408
1802,31366.525
1803,32545.693
1804,32495.066
1805,32545.693
1806,34480.785
1807,34077.67
1808,33916.39
1809,33755.11
1810,33704.48
1811,33755.11
1812,33704.48
1813,33755.11
1814,33916.39
1815,35992.074
1816,35830.785
1817,35427.67
1818,35266.39
1819,35427.67
1820,36798.332
1821,36637.05
1822,36586.426
1823,11225.964
1824,11064.67
1825,10903.377
1826,10742.084
1827,10691.449
1828,10419.485
1829,10016.369
1830,9855.076
1831,9693.783
1832,9643.148
1833,9693.783
1834,9431.205
1835,9481.84
1836,9643.127
1837,9804.414
1838,10207.522
1839,9481.832
1840,9431.182
1841,9481.82
1842,9431.186
1843,9481.82
1844,9643.107
1845,10046.216
1846,9855.296
1847,9694.003
1848,9643.365
1849,9592.73
1850,9643.365
1851,11034.771
1852,10631.663
1853,10470.383
1854,10067.273
1855,9905.986
1856,10067.273
1857,10007.26
1858,10631.67
1859,13535.422
1860,13374.142
1861,12971.032
1862,12809.745
1863,12648.452
1864,12597.817
1865,12648.452
