,slope
1290,0.27059764
1291,0.2937858
1292,0.16089208
1293,0.25689253
1294,0.18556914
1295,0.2628849
1296,0.36536524
1297,0.42356074
1298,0.81174463
1299,0.7272201
1300,0.52575874
1301,0.50840807
1302,0.36536524
1303,0.52487457
1304,0.2628849
1305,0.10823973
1306,0.41728064
1307,0.25420904
1308,1.3351245
1309,1.1168146
1310,1.0647163
1311,0.31241414
1312,0.18810768
1313,0.26646885
1314,0.37621132
1315,0.20412081
1316,0.10286604
1317,0.13677776
1318,0.10823973
1319,0.25689253
1320,0.16089208
1321,0.37621132
1322,0.40626144
1323,0.56430686
1324,0.10286604
1325,0.48949584
1326,0.2210053
1327,2.2060175
1328,2.1555593
1329,1.7692505
1330,1.4264592
1331,0.3244187
1332,2.9806523
1333,4.7754326
1334,3.546566
1335,4.966432
1336,2.4950325
1337,1.8393991
1338,0.46100077
1339,1.7967883
1340,3.2599456
1341,3.1560178
1342,6.503798
1343,3.5041604
1344,4.707004
1345,4.498819
1346,3.0278182
1347,1.2720054
1348,2.4252462
1349,4.669996
1350,5.618811
1351,6.292093
1352,1.789531
1353,8.77105
1354,7.1226587
1355,1.6775451
1356,2.1451871
1357,5.0202584
1358,5.9893637
1359,3.2535124
1360,6.068288
1361,1.0212197
1362,6.0225635
1363,1.0246978
1364,6.22352
1365,4.444839
1366,2.063423
1367,1.7535183
1368,1.2282693
1369,0.25688797
1370,0.22100504
1371,0.05411855
1372,0.05411855
1373,0.9943898
1374,1.8609414
1375,2.7333872
1376,2.8937929
1377,3.6640844
1378,5.41318
1379,5.213048
1380,1.4350942
1381,2.8698335
1382,3.5430558
1383,3.215904
1384,4.4774466
1385,5.8303633
1386,5.480498
1387,2.4484768
1388,1.0281425
1389,0.6281665
1390,1.2494243
1391,1.2022988
1392,4.055155
1393,4.5335593
1394,4.248779
1395,2.4901245
1396,3.5817788
1397,4.7759676
1398,3.4272897
1399,0.85529697
1400,0.62488574
1401,1.0846486
1402,2.0095913
1403,2.568782
1404,2.3843691
1405,1.5072314
1406,1.2652973
1407,1.0832723
1408,0.82286704
1409,0.55843264
1410,0.4592996
1411,0.50840294
1412,0.3092801
1413,0.15229541
1414,0.05411855
1415,0.0
1416,0.102865346
1417,0.25688797
1418,0.102865346
1419,0.102865346
1420,0.2705908
1421,0.13677289
1422,0.15229541
1423,0.20573002
1424,0.13677289
1425,0.20573002
1426,0.20573002
1427,0.16089167
1428,0.15229541
1429,0.061856594
1430,0.24065502
1431,0.20411758
1432,0.24742493
1433,0.25688797
1434,0.17763993
1435,0.05411855
1436,0.061856594
1437,0.2705908
1438,0.102865346
1439,0.22419305
1440,0.24065502
1441,0.102865346
1442,0.18810138
1443,0.088820174
1444,0.16235527
1445,0.2735442
1446,0.05411855
1447,0.62478644
1448,0.49723232
1449,0.16235527
1450,0.05411855
1451,0.21647324
1452,0.13677289
1453,0.30458868
1454,0.40081856
1455,0.16089167
1456,0.71329945
1457,3.5004237
1458,2.755559
1459,3.3541684
1460,1.7815291
1461,1.5313036
1462,1.409092
1463,1.0551876
1464,0.66298884
1465,0.4680088
1466,0.3092801
1467,0.22100504
1468,0.30458868
1469,0.7641285
1470,1.7976378
1471,2.1603813
1472,2.5897436
1473,2.4489682
1474,1.515784
1475,0.8455643
1476,0.6861625
1477,0.73069394
1478,0.74753207
1479,0.54238135
1480,0.8570358
1481,1.8753532
1482,2.9654276
1483,3.4279087
1484,2.9739244
1485,1.2185942
1486,0.4568719
1487,0.64088523
1488,2.8191593
1489,2.4603155
1490,1.8277296
1491,7.157763
1492,3.3589356
1493,5.577778
1494,5.238677
1495,2.6703978
1496,0.68636805
1497,2.8505366
1498,7.0893397
1499,3.9717455
1500,2.1445725
1501,5.2734203
1502,3.8979514
1503,6.445671
1504,4.7151995
1505,1.5885043
1506,2.4429407
1507,5.782303
1508,4.038279
1509,4.856607
1510,2.7512076
1511,5.3775663
1512,1.8262151
1513,5.6696935
1514,3.5305912
1515,0.4568719
1516,1.7265395
1517,2.7222877
1518,1.4239776
1519,0.57873404
1520,0.08881684
1521,0.10823428
1522,0.57811815
1523,1.5108037
1524,2.5448658
1525,2.61147
1526,2.999666
1527,5.5021653
1528,4.304938
1529,2.0139205
1530,3.867127
1531,3.1468246
1532,2.1529126
1533,5.1553764
1534,5.0358067
1535,7.031853
1536,5.9280367
1537,3.8869016
1538,2.469794
1539,2.0651746
1540,1.3090143
1541,1.4717025
1542,3.0678108
1543,4.174956
1544,4.387002
1545,4.157276
1546,4.2929487
1547,2.6476347
1548,1.0274304
1549,0.58434224
1550,0.50274754
1551,0.49484083
1552,0.50274754
1553,0.48266366
1554,0.48266366
1555,0.60252863
1556,0.73069394
1557,0.5257546
1558,0.22100478
1559,0.40080675
1560,0.3101167
1561,0.36060768
1562,0.3471952
1563,0.16089126
1564,0.08881684
1565,0.24064733
1566,0.27353445
1567,0.48128617
1568,0.38161358
1569,0.24742502
1570,0.12371309
1571,0.10286465
1572,0.0
1573,0.3244075
1574,0.4592957
1575,0.55669224
1576,0.5276386
1577,0.6185424
1578,0.96525884
1579,1.1447053
1580,1.1655298
1581,1.287138
1582,1.204924
1583,0.7886042
1584,0.38161358
1585,0.2568834
1586,0.2568834
1587,0.22100478
1588,0.061856616
1589,0.16235118
1590,0.1522935
1591,0.16235118
1592,0.1880951
1593,0.054117188
1594,0.24064733
1595,0.22100478
1596,0.5123724
1597,0.35526308
1598,0.0
1599,0.10823428
1600,0.1880951
1601,0.10286465
1602,0.08881684
1603,0.5123724
1604,0.71318585
1605,1.4171418
1606,4.3322315
1607,2.4261358
1608,3.832213
1609,4.500721
1610,4.849209
1611,5.3110757
1612,5.00975
1613,3.8074696
1614,1.9372005
1615,0.42355788
1616,0.46603516
1617,0.9818452
1618,2.1451523
1619,3.3009331
1620,3.610872
1621,4.171131
1622,4.5798264
1623,3.6078053
1624,1.7874317
1625,1.5485873
1626,1.2692941
1627,0.7706089
1628,0.4592957
1629,0.123713136
1630,0.20411113
1631,0.24742512
1632,0.35665712
1633,0.71063066
1634,1.0832729
1635,1.2686316
1636,1.1985329
1637,0.8641905
1638,0.2628818
1639,0.1522916
1640,1.0076907
1641,2.6274016
1642,1.7639116
1643,2.164739
1644,8.292154
1645,2.7759492
1646,6.3309383
1647,5.306291
1648,2.6784692
1649,1.1104614
1650,5.045329
1651,7.4880066
1652,2.100265
1653,4.350513
1654,2.766965
1655,4.104845
1656,0.6107735
1657,6.0229545
1658,5.2915754
1659,1.5522274
1660,1.2642418
1661,2.3509104
1662,1.3205713
1663,5.566487
1664,3.258078
1665,3.4945602
1666,3.8471653
1667,2.596725
1668,1.1485909
1669,0.24063966
1670,2.2880414
1671,1.9456506
1672,1.2023915
1673,0.16089086
1674,0.37617353
1675,0.63385874
1676,1.5296067
1677,2.3766577
1678,3.985832
1679,6.110788
1680,5.3621645
1681,0.3246916
1682,3.238419
1683,3.721215
1684,2.4713483
1685,5.089648
1686,6.619623
1687,3.2340639
1688,5.827976
1689,3.2787378
1690,1.5510476
1691,3.7990894
1692,3.8213067
1693,1.9483129
1694,1.5543963
1695,0.81588
1696,1.9935633
1697,2.903808
1698,3.1659155
1699,2.8612444
