,slope
1197,1.3910795
1198,2.0825756
1199,2.1640403
1200,2.7235389
1201,2.8627706
1202,4.7429967
1203,3.6537147
1204,3.6026685
1205,5.6836004
1206,3.7563922
1207,1.4747258
1208,1.0167873
1209,2.609801
1210,3.2725394
1211,2.8949707
1212,1.0282978
1213,0.3046116
1214,0.8044198
1215,1.0249076
1216,1.6537156
1217,2.120739
1218,0.67374647
1219,2.063518
1220,2.2415817
1221,0.865962
1222,5.651561
1223,3.9233327
1224,4.534555
1225,5.2343984
1226,2.3492057
1227,4.177249
1228,3.9918199
1229,4.9924197
1230,3.6572142
1231,2.5901823
1232,2.1829376
1233,1.4736631
1234,0.80902296
1235,0.45932305
1236,3.6285799
1237,5.8056765
1238,3.3552592
1239,3.6608295
1240,4.0456753
1241,3.2796185
1242,3.8937387
1243,3.4662287
1244,1.04523
1245,0.6171937
1246,1.573334
1247,2.1685834
1248,2.0679662
1249,1.5466781
1250,1.490096
1251,1.4495646
1252,1.0078319
1253,0.7307179
1254,0.6435511
1255,0.5843551
1256,0.5082605
1257,0.25422183
1258,0.24070115
1259,0.5124948
1260,0.9627197
1261,0.6648018
1262,0.87046885
1263,1.213359
1264,1.310853
1265,1.055187
1266,0.6863854
1267,0.4082687
1268,0.16089411
1269,0.06185646
1270,0.2569154
1271,1.016819
1272,0.8690153
1273,1.3941579
1274,0.47109145
1275,0.93477786
1276,0.3092794
1277,0.97337425
1278,1.2497033
1279,1.5209742
1280,2.4299624
1281,2.3907619
1282,2.2605174
1283,2.165767
1284,2.0217278
1285,1.6176239
1286,1.5244616
1287,1.3304168
1288,1.6091241
1289,1.2705187
1290,0.879086
1291,0.9421192
1292,1.0514498
1293,1.9287947
1294,1.8367022
1295,1.337445
1296,0.5788231
1297,0.56013083
1298,0.9446212
1299,1.0514421
1300,0.87046885
1301,0.9185871
1302,1.1201546
1303,0.96790004
1304,1.3055091
1305,1.3636584
1306,0.67374647
1307,0.2474244
1308,0.7607766
1309,1.2814276
1310,0.7345087
1311,0.9935835
1312,1.3011881
1313,1.0054234
1314,0.9682639
1315,0.9882059
1316,0.34726825
1317,0.108253375
1318,0.9454683
1319,1.8098134
1320,1.2182742
1321,1.7510189
1322,1.6865481
1323,0.628183
1324,0.42356792
1325,0.31015816
1326,0.36069977
1327,1.1107949
1328,1.6091992
1329,1.6091241
1330,1.4594072
1331,0.55847085
1332,0.5249314
1333,1.2269963
1334,1.6430542
1335,1.4726963
1336,1.2266961
1337,2.936116
1338,2.6530402
1339,0.877063
1340,0.96790004
1341,2.874256
1342,3.397423
1343,5.8212576
1344,4.407223
1345,3.351517
1346,5.205556
1347,4.8295846
1348,3.0126996
1349,2.4574058
1350,2.528246
1351,0.24070115
1352,0.45932305
1353,1.5498241
1354,3.2316015
1355,1.7321336
1356,2.1592388
1357,3.608172
1358,2.8332329
1359,2.2136462
1360,4.0276556
1361,2.3216245
1362,2.3160272
1363,1.333798
1364,0.5344209
1365,0.56373423
1366,0.5892923
1367,0.6861638
1368,2.3639956
1369,3.7532382
1370,2.9664576
1371,3.095388
1372,2.6981559
1373,0.67019737
1374,0.37888172
1375,4.548052
1376,1.7376025
1377,5.1274915
1378,6.890277
1379,6.74566
1380,6.991607
1381,6.4173055
1382,8.640014
1383,8.175884
1384,7.207667
1385,6.9156327
1386,5.5813065
1387,7.5565157
1388,3.4984887
1389,4.11672
1390,6.862732
1391,6.9769635
1392,4.659459
1393,2.4573147
1394,6.5420876
1395,6.0112233
1396,1.5350702
1397,1.9882684
1398,1.5619316
1399,3.792678
1400,2.580048
1401,4.257428
1402,9.046349
1403,4.785986
1404,7.00168
1405,2.0313034
1406,0.5412378
1407,4.2956204
1408,3.2082367
1409,6.127605
1410,2.0322144
1411,9.544513
1412,6.7217326
1413,3.5021641
1414,2.0306525
1415,0.85542184
1416,0.18813288
1417,1.2269672
1418,2.3362153
1419,2.4911184
1420,7.8471065
1421,3.5162678
1422,3.9964552
1423,4.7555585
1424,1.5503979
1425,8.58198
1426,6.3446507
1427,2.2443318
1428,1.2653236
1429,2.8910646
1430,2.3338113
1431,0.77502936
1432,5.330393
1433,2.627773
1434,2.6632593
1435,2.8093925
1436,0.86900103
1437,5.5195913
1438,4.737978
1439,2.288584
1440,0.41038555
1441,0.32474884
1442,1.8416724
1443,4.3006077
1444,3.757276
1445,3.7872682
1446,5.331586
1447,6.5221987
1448,3.839586
1449,9.178456
1450,4.401049
1451,3.8940043
1452,4.661923
1453,3.4024806
1454,3.6749933
1455,2.016571
1456,3.2162106
1457,5.4155626
1458,5.143555
1459,1.2114058
1460,3.75634
1461,3.4775214
1462,6.0259447
1463,6.630256
1464,4.2526484
1465,1.3798283
1466,0.57824814
1467,0.29382208
1468,0.30460778
1469,0.3430941
1470,0.7406762
1471,0.7406762
1472,1.4736147
1473,1.7666069
1474,1.2810223
1475,2.7303045
1476,3.1072767
1477,4.957692
1478,4.98905
1479,0.4329873
1480,3.735635
1481,3.7110207
1482,2.950097
1483,3.2453809
1484,3.0935342
1485,3.2515569
1486,3.654289
1487,3.2804284
1488,3.224153
1489,4.3185077
1490,5.5487614
1491,4.9646816
1492,6.253048
1493,3.4295452
1494,0.5412378
1495,0.63273895
1496,3.730483
1497,4.4669423
1498,2.9083934
1499,4.9719067
1500,5.2892118
1501,2.7793102
1502,3.3575895
1503,3.8142383
1504,3.4185927
1505,1.2971631
1506,1.8366865
1507,3.3762398
1508,3.1212645
